"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","14.6145","14.7767","14.8479","14.6112","","-1.03%"
"31/03/2021","14.7665","14.9172","14.9684","14.7206","","-0.98%"
"30/03/2021","14.9129","14.9150","15.0007","14.8669","","0.06%"
"29/03/2021","14.9042","15.0045","15.0714","14.8704","","-0.62%"
"26/03/2021","14.9970","15.0475","15.1033","14.9323","","-0.15%"
"25/03/2021","15.0196","14.9204","15.0966","14.8580","","0.33%"
"24/03/2021","14.9699","14.9098","14.9985","14.7512","","0.45%"
"23/03/2021","14.9023","14.7196","14.9445","14.6901","","1.32%"
"22/03/2021","14.7088","14.8467","14.9559","14.6737","","0.06%"
"19/03/2021","14.7002","14.7879","14.8253","14.6446","","-0.45%"
"18/03/2021","14.7673","14.6532","14.8225","14.6082","","0.83%"
"17/03/2021","14.6463","14.8699","14.9805","14.6125","","-1.41%"
"16/03/2021","14.8563","14.8575","14.9578","14.7733","","0.00%"
"15/03/2021","14.8558","14.9000","15.0325","14.8290","","-0.51%"
"12/03/2021","14.9323","14.8297","15.0449","14.8038","","0.74%"
"11/03/2021","14.8229","15.0886","15.1202","14.7869","","-1.61%"
"10/03/2021","15.0649","15.2934","15.3771","15.0528","","-1.50%"
"09/03/2021","15.2950","15.5150","15.5555","15.2685","","-1.52%"
"08/03/2021","15.5316","15.3554","15.5731","15.3099","","1.20%"
"05/03/2021","15.3479","15.2742","15.4415","15.2272","","0.37%"
"04/03/2021","15.2918","15.0873","15.3462","14.9960","","1.41%"
"03/03/2021","15.0785","14.9633","15.1135","14.8559","","0.98%"
"02/03/2021","14.9326","15.0175","15.1192","14.9200","","-0.52%"
"01/03/2021","15.0100","15.1001","15.1394","14.8952","","-0.55%"
"26/02/2021","15.0926","15.0276","15.1977","14.8081","","0.20%"
